"Sample ID","Images for analysis","Cell type","Minimum Diameter (µm)","Maximum Diameter (µm)","Images","Cell sharpness","Minimum circularity","Decluster degree","Aspiration cycles","Viable spot brightness (%)","Viable spot area (%)","Mixing cycles","Analysis date/time","Reanalysis date/time","Analysis by","Reanalysis by","Dilution","Wash","Tag","Concentration Adjustment Factor (%)","ROW","COLUMN"
"DM1-24078-363-17-SF3-P12D3","50","PCL HELA VERIFIED","13.00","24.50","50","7.00","0.50","High","3","75.0","5.0","3","5/2/2024 10:15:43 AM","","Vi-CELL","","1","Normal Wash","","0","Carousel","14"
"Part number","Lot number","Reagent","Expiration","In service date","Effective expiration"
"C06019","848012","Trypan Blue","12/14/2024 12:00:00 AM","4/29/2024 12:00:00 AM","7/28/2024 12:00:00 AM"
"Image#","Cell count","Viable cells","Total (x10^6) cells/mL","Viable (x10^6) cells/mL","Viability (%)","Average diameter (µm)","Average viable diameter (µm)","Average circularity","Average viable circularity","Average cells per image","Average background intensity","Bubble count","Cluster count"
"1","77","75","2.9012","2.8258","97.4","18.59","18.69","0.95","0.95","77","135","0","0"
"2","70","70","2.6375","2.6375","100.0","18.39","18.39","0.95","0.95","70","135","0","0"
"3","52","52","1.9593","1.9593","100.0","18.17","18.17","0.97","0.97","52","135","0","0"
"4","54","53","2.0346","1.9969","98.1","18.40","18.47","0.96","0.97","54","135","0","0"
"5","57","57","2.1476","2.1476","100.0","18.92","18.92","0.96","0.96","57","135","0","0"
"6","49","49","1.8462","1.8462","100.0","18.68","18.68","0.97","0.97","49","135","0","0"
"7","55","55","2.0723","2.0723","100.0","18.24","18.24","0.96","0.96","55","135","0","0"
"8","60","60","2.2607","2.2607","100.0","18.64","18.64","0.95","0.95","60","135","0","0"
"9","54","54","2.0346","2.0346","100.0","18.66","18.66","0.97","0.97","54","135","0","0"
"10","72","70","2.7128","2.6375","97.2","18.45","18.57","0.95","0.95","72","135","0","0"
"11","65","65","2.4491","2.4491","100.0","18.68","18.68","0.96","0.96","65","135","0","0"
"12","68","66","2.5621","2.4867","97.1","18.08","18.21","0.94","0.94","68","135","0","0"
"13","56","55","2.1100","2.0723","98.2","18.54","18.59","0.96","0.96","56","135","0","0"
"14","57","57","2.1476","2.1476","100.0","18.11","18.11","0.97","0.97","57","135","0","0"
"15","59","59","2.2230","2.2230","100.0","18.62","18.62","0.95","0.95","59","135","0","0"
"16","45","45","1.6955","1.6955","100.0","17.97","17.97","0.95","0.95","45","135","0","0"
"17","54","53","2.0346","1.9969","98.1","18.31","18.28","0.96","0.96","54","135","0","0"
"18","57","57","2.1476","2.1476","100.0","18.48","18.48","0.94","0.94","57","135","0","0"
"19","54","54","2.0346","2.0346","100.0","18.75","18.75","0.96","0.96","54","135","0","0"
"20","56","56","2.1100","2.1100","100.0","18.26","18.26","0.96","0.96","56","135","0","0"
"21","62","61","2.3360","2.2984","98.4","18.27","18.35","0.95","0.94","62","135","0","0"
"22","60","58","2.2607","2.1853","96.7","18.54","18.63","0.97","0.97","60","135","0","0"
"23","64","60","2.4114","2.2607","93.8","17.94","18.04","0.95","0.96","64","135","0","0"
"24","65","65","2.4491","2.4491","100.0","18.14","18.14","0.96","0.96","65","135","0","0"
"25","53","52","1.9969","1.9593","98.1","18.06","18.09","0.95","0.95","53","135","0","0"
"26","54","52","2.0346","1.9593","96.3","18.57","18.67","0.95","0.95","54","135","0","0"
"27","80","79","3.0142","2.9766","98.8","18.38","18.45","0.96","0.96","80","135","0","0"
"28","64","63","2.4114","2.3737","98.4","18.54","18.61","0.95","0.95","64","135","0","0"
"29","65","65","2.4491","2.4491","100.0","18.21","18.21","0.96","0.96","65","135","0","0"
"30","74","74","2.7882","2.7882","100.0","18.16","18.16","0.95","0.95","74","135","0","0"
"31","49","49","1.8462","1.8462","100.0","18.53","18.53","0.96","0.96","49","135","0","0"
"32","74","74","2.7882","2.7882","100.0","18.53","18.53","0.95","0.95","74","134","0","0"
"33","52","51","1.9593","1.9216","98.1","18.22","18.31","0.95","0.95","52","134","0","0"
"34","76","75","2.8635","2.8258","98.7","18.09","18.15","0.96","0.96","76","134","0","0"
"35","68","68","2.5621","2.5621","100.0","18.10","18.10","0.94","0.94","68","134","0","0"
"36","69","68","2.5998","2.5621","98.6","18.16","18.22","0.96","0.96","69","134","0","0"
"37","60","59","2.2607","2.2230","98.3","18.65","18.71","0.95","0.95","60","134","0","0"
"38","71","70","2.6751","2.6375","98.6","18.10","18.13","0.95","0.95","71","134","0","0"
"39","67","66","2.5244","2.4867","98.5","18.40","18.44","0.94","0.95","67","134","0","0"
"40","65","65","2.4491","2.4491","100.0","18.52","18.52","0.95","0.95","65","134","0","0"
"41","46","46","1.7332","1.7332","100.0","18.49","18.49","0.98","0.98","46","134","0","0"
"42","73","73","2.7505","2.7505","100.0","18.01","18.01","0.94","0.94","73","134","0","0"
"43","75","74","2.8258","2.7882","98.7","18.34","18.40","0.95","0.95","75","134","0","0"
"44","75","75","2.8258","2.8258","100.0","18.19","18.19","0.94","0.94","75","134","0","0"
"45","65","65","2.4491","2.4491","100.0","17.90","17.90","0.95","0.95","65","134","0","0"
"46","74","74","2.7882","2.7882","100.0","18.12","18.12","0.94","0.94","74","134","0","0"
"47","76","76","2.8635","2.8635","100.0","18.10","18.10","0.96","0.96","76","134","0","0"
"48","63","63","2.3737","2.3737","100.0","18.16","18.16","0.96","0.96","63","133","0","0"
"49","58","58","2.1853","2.1853","100.0","18.27","18.27","0.95","0.95","58","134","0","0"
"50","69","69","2.5998","2.5998","100.0","18.31","18.31","0.94","0.94","69","134","0","0"
"","","","","","","","","","","","","",""
"Total","3137","3109","2.3639","2.3428","99.1","18.33","18.36","0.95","0.95","62","134","0","0"
