"Sample ID","Images for analysis","Cell type","Minimum Diameter (µm)","Maximum Diameter (µm)","Images","Cell sharpness","Minimum circularity","Decluster degree","Aspiration cycles","Viable spot brightness (%)","Viable spot area (%)","Mixing cycles","Analysis date/time","Reanalysis date/time","Analysis by","Reanalysis by","Dilution","Wash","Tag","Concentration Adjustment Factor (%)","ROW","COLUMN"
"U2D3-1","50","PCL HELA VERIFIED","13.00","24.50","50","7.00","0.50","High","3","75.0","5.0","3","5/2/2024 11:58:10 AM","","Vi-CELL","","1","Normal Wash","","0","Carousel","7"
"Part number","Lot number","Reagent","Expiration","In service date","Effective expiration"
"C06019","848012","Trypan Blue","12/14/2024 12:00:00 AM","4/29/2024 12:00:00 AM","7/28/2024 12:00:00 AM"
"Image#","Cell count","Viable cells","Total (x10^6) cells/mL","Viable (x10^6) cells/mL","Viability (%)","Average diameter (µm)","Average viable diameter (µm)","Average circularity","Average viable circularity","Average cells per image","Average background intensity","Bubble count","Cluster count"
"1","142","140","5.3503","5.2749","98.6","18.28","18.31","0.94","0.94","142","135","0","0"
"2","144","142","5.4256","5.3503","98.6","18.31","18.37","0.93","0.93","144","135","0","0"
"3","182","182","6.8574","6.8574","100.0","18.44","18.44","0.95","0.95","182","135","0","0"
"4","153","151","5.7647","5.6894","98.7","18.41","18.46","0.94","0.94","153","135","0","0"
"5","187","184","7.0458","6.9327","98.4","18.32","18.38","0.93","0.93","187","135","0","0"
"6","160","155","6.0285","5.8401","96.9","18.44","18.54","0.95","0.95","160","135","0","0"
"7","172","170","6.4806","6.4052","98.8","18.27","18.30","0.94","0.94","172","135","0","0"
"8","175","173","6.5936","6.5183","98.9","18.07","18.11","0.94","0.94","175","135","0","0"
"9","169","165","6.3676","6.2169","97.6","18.32","18.36","0.94","0.94","169","135","0","0"
"10","202","199","7.6109","7.4979","98.5","18.12","18.16","0.93","0.93","202","135","0","0"
"11","188","185","7.0835","6.9704","98.4","18.55","18.58","0.94","0.94","188","135","0","0"
"12","160","157","6.0285","5.9154","98.1","18.31","18.35","0.93","0.93","160","135","0","0"
"13","174","171","6.5560","6.4429","98.3","18.14","18.18","0.93","0.93","174","135","0","0"
"14","166","163","6.2545","6.1415","98.2","18.33","18.32","0.93","0.93","166","135","0","0"
"15","198","198","7.4602","7.4602","100.0","18.40","18.40","0.94","0.94","198","135","0","0"
"16","182","178","6.8574","6.7067","97.8","18.45","18.55","0.94","0.94","182","135","0","0"
"17","154","152","5.8024","5.7270","98.7","18.36","18.34","0.95","0.95","154","135","0","0"
"18","183","181","6.8951","6.8197","98.9","18.07","18.07","0.93","0.93","183","135","0","0"
"19","186","183","7.0081","6.8951","98.4","18.16","18.18","0.93","0.93","186","135","0","0"
"20","162","159","6.1038","5.9908","98.1","18.21","18.25","0.93","0.93","162","135","0","0"
"21","170","167","6.4052","6.2922","98.2","18.27","18.31","0.94","0.95","170","135","0","0"
"22","151","149","5.6894","5.6140","98.7","18.27","18.29","0.94","0.95","151","135","0","0"
"23","169","167","6.3676","6.2922","98.8","18.18","18.21","0.93","0.93","169","135","0","0"
"24","185","183","6.9704","6.8951","98.9","18.42","18.43","0.93","0.93","185","135","0","0"
