Plate information 
Plate	Repeat	Barcode	Measured height	Chamber temperature at start	Chamber temperature at end	Humidity at start	Humidity at end	Ambient temperature at start	Ambient temperature at end	Measurement date	
1	1		14.48	19.27	19.21	20	19.8	19.76	19.6	1/11/2023 1:26:34 PM	


Background information
Plate	Label	Result	Signal	Flashes/Time	Meastime	MeasInfo	
1	LANCE Eu/APC Dual Updated	0	78	100	00:00:00.000	De=1st Ex=Top Em=Top Wdw=1 (14)	
1	LANCE Eu/APC Dual Updated	0	65	20	00:00:00.000	De=2nd Ex=Top Em=Top Wdw=1 (142)	

			PltRpt=1 Group=1 LANCE Eu/APC Dual Updated(1) De=1st Ex=Top Em=Top Wdw=1 (14)				PltRpt=1 Group=1 LANCE Eu/APC Dual Updated(1) De=2nd Ex=Top Em=Top Wdw=1 (142)					
Plate	Barcode	Well	CalcResultI	Signal	Flashes/Time	MeasTime	CalcResultI	Signal	Flashes/Time	MeasTime		
1		A01	179	179	100	00:00:00.233	1242	1242	20	00:00:00.000		
1		A02	188	188	100	00:00:00.545	889	889	20	00:00:00.955		
1		A03	202	202	100	00:00:01.323	1040	1040	20	00:00:01.089		
1		A04	232	232	100	00:00:01.634	283	283	20	00:00:02.045		
1		A05	212	212	100	00:00:02.411	353	353	20	00:00:02.178		
1		A06	250	250	100	00:00:02.723	291	291	20	00:00:03.134		
1		A07	257	257	100	00:00:03.502	335	335	20	00:00:03.269		
1		A08	269	269	100	00:00:03.813	283	283	20	00:00:04.224		
1		A09	235	235	100	00:00:04.591	324	324	20	00:00:04.358		
1		A10	239	239	100	00:00:04.903	306	306	20	00:00:05.314		
1		A11	256	256	100	00:00:05.681	323	323	20	00:00:05.448		
1		A12	333	333	100	00:00:05.993	305	305	20	00:00:06.403		
1		A13	253	253	100	00:00:06.770	370	370	20	00:00:06.537		
1		A14	278	278	100	00:00:07.081	311	311	20	00:00:07.492		
1		A15	231	231	100	00:00:07.860	341	341	20	00:00:07.627		
1		A16	261	261	100	00:00:08.171	301	301	20	00:00:08.582		
1		A17	295	295	100	00:00:08.949	356	356	20	00:00:08.716		
1		A18	256	256	100	00:00:09.260	293	293	20	00:00:09.671		
1		A19	244	244	100	00:00:10.038	363	363	20	00:00:09.805		
1		A20	256	256	100	00:00:10.350	283	283	20	00:00:10.760		
1		A21	232	232	100	00:00:11.128	340	340	20	00:00:10.894		
1		A22	291	291	100	00:00:11.439	310	310	20	00:00:11.850		
1		A23	316	316	100	00:00:12.217	424	424	20	00:00:11.983		
1		A24	399	399	100	00:00:12.529	439	439	20	00:00:12.939		
1		B01	200	200	100	00:00:25.669	1261	1261	20	00:00:26.080		
1		B02	188	188	100	00:00:25.358	1169	1169	20	00:00:25.124		
1		B03	216	216	100	00:00:24.580	1269	1269	20	00:00:24.990		
1		B04	212	212	100	00:00:24.269	367	367	20	00:00:24.036		
1		B05	236	236	100	00:00:23.491	266	266	20	00:00:23.901		
1		B06	232	232	100	00:00:23.179	333	333	20	00:00:22.946		
1		B07	248	248	100	00:00:22.401	293	293	20	00:00:22.812		
1		B08	236	236	100	00:00:22.090	358	358	20	00:00:21.857		
1		B09	236	236	100	00:00:21.312	290	290	20	00:00:21.722		
1		B10	260	260	100	00:00:21.000	332	332	20	00:00:20.767		
1		B11	268	268	100	00:00:20.223	317	317	20	00:00:20.633		
1		B12	275	275	100	00:00:19.910	354	354	20	00:00:19.677		
1		B13	276	276	100	00:00:19.133	274	274	20	00:00:19.543		
1		B14	232	232	100	00:00:18.821	396	396	20	00:00:18.588		
1		B15	304	304	100	00:00:18.043	272	272	20	00:00:18.453		
1		B16	212	212	100	00:00:17.732	336	336	20	00:00:17.499		
1		B17	212	212	100	00:00:16.954	306	306	20	00:00:17.365		
1		B18	259	259	100	00:00:16.642	348	348	20	00:00:16.409		
1		B19	259	259	100	00:00:15.865	279	279	20	00:00:16.275		
1		B20	268	268	100	00:00:15.553	355	355	20	00:00:15.320		
1		B21	293	293	100	00:00:14.775	306	306	20	00:00:15.185		
1		B22	280	280	100	00:00:14.462	388	388	20	00:00:14.229		
1		B23	340	340	100	00:00:13.685	373	373	20	00:00:14.095		
1		B24	336	336	100	00:00:13.373	649	649	20	00:00:13.139		
1		C01	221	221	100	00:00:26.510	1229	1229	20	00:00:26.276		
1		C02	240	240	100	00:00:26.821	824	824	20	00:00:27.232		
1		C03	252	252	100	00:00:27.600	1116	1116	20	00:00:27.366		
